index,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
1,33,0,HI- S2 -- 5,-5.63,$0.00 ,won,5,5,1.5,2
2,34,0,$24.92 ,0,$11.54 ,lost,0,1.5,5,2
3,35,0,$8.00 ,-13,$0.00 ,won,8,1.5,3,2
4,36,0,$10.67 ,0,$10.67 ,won,10.67,5,1.5,2
5,37,0,$24.21 ,0,$11.89 ,lost,0,1.5,1.5,2
6,38,0,$12.00 ,-24,$0.00 ,won,12,3,1.5,2
7,39,0,$2.00 ,-2.75,$0.00 ,won,2,3,5,2
8,40,0,$9.00 ,-13.5,$0.00 ,lost,-13.5,1.5,3,2
9,41,0,$5.00 ,-4.38,$0.00 ,won,5,5,1.5,2
10,42,0,$2.00 ,-1.75,$0.00 ,lost,-1.75,1.5,7,2
11,43,0,$5.00 ,-8.13,$0.00 ,won,5,3,3,2
12,44,0,$5.00 ,-6.88,$0.00 ,won,5,1.5,5,2
13,45,0,$4.00 ,-6,$0.00 ,lost,-6,3,1.5,2
14,46,0,$9.82 ,0,$3.09 ,lost,0,1.5,3,2
15,47,0,$8.49 ,0,$3.76 ,won,8.49,1.5,1.5,2
16,48,0,$13.25 ,0,$9.37 ,won,13.25,1.5,7,2
17,49,0,$8.00 ,-7,$0.00 ,lost,-7,5,1.5,2
18,50,0,$16.79 ,0,$7.60 ,lost,0,3,1.5,2
19,51,0,$2.00 ,-1.25,$0.00 ,lost,-1.25,1.5,7,2
20,52,0,$15.28 ,0,$8.36 ,won,15.28,3,1.5,2
21,53,0,$5.00 ,-0.63,$0.00 ,won,5,1.5,7,2
22,54,0,$9.00 ,-2.25,$0.00 ,lost,-2.25,1.5,1.5,2
23,55,0,$10.00 ,-8.75,$0.00 ,lost,-8.75,3,3,2
24,56,0,$15.86 ,0,$8.07 ,lost,0,3,3,2
25,57,0,$26.76 ,0,$10.62 ,lost,0,5,1.5,2
26,58,0,$8.00 ,-5,$0.00 ,won,8,1.5,5,2
27,59,0,$7.36 ,0,$4.32 ,won,7.36,1.5,5,2
28,60,0,$12.00 ,-3,$0.00 ,lost,-3,1.5,5,2
29,61,0,$9.00 ,-15.75,$0.00 ,won,9,1.5,3,2
30,62,0,$12.00 ,-15,$0.00 ,lost,-15,1.5,1.5,2
31,63,0,$8.00 ,-1.33,$0.00 ,won,8,1.5,3,2
32,64,0,$9.00 ,-0.75,$0.00 ,lost,-0.75,5,1.5,2
