Subject,Partner,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain
153,0,1,1,19,0,1,56,1,1,10.00,10.00,0.00,6.00
153,0,2,1,19,1,,0,,0,-15.75,9.00,-15.75,0.00
153,0,3,1,19,1,1,539,0,0,-8.75,10.00,-8.75,0.00
153,0,4,1,19,1,,0,,1,8.00,8.00,-2.00,0.00
153,0,5,1,19,1,0,71,3,0,-12.00,6.00,-12.00,0.00
153,0,6,1,19,1,0,828,3,0,-18.75,10.00,-18.75,0.00
153,0,7,1,19,1,1,34,1,1,5.00,5.00,-8.13,0.00
153,0,8,1,19,0,1,167,0,0,0.00,12.00,0.00,4.00
153,0,9,1,19,1,1,197,1,1,9.00,9.00,-9.00,0.00
153,0,10,1,19,0,0,106,3,0,0.00,22.00,0.00,13.00
153,0,11,1,19,1,1,160,0,0,-7.00,8.00,-7.00,0.00
153,0,12,1,19,1,0,326,3,1,4.00,4.00,-8.00,0.00
153,0,13,1,19,0,1,27,1,1,25.00,25.00,0.00,9.00
153,0,14,1,19,1,1,25,0,0,-3.75,2.00,-3.75,0.00
153,0,15,1,19,1,1,286,1,1,2.00,2.00,-1.25,0.00
153,0,16,1,19,1,0,124,3,1,6.00,6.00,-9.00,0.00
153,0,17,1,19,0,1,218,1,1,13.00,13.00,0.00,6.00
153,0,18,1,19,1,0,48,3,0,-4.00,4.00,-4.00,0.00
153,0,19,1,19,0,1,149,1,1,7.00,7.00,0.00,3.00
153,0,20,1,19,0,0,171,3,1,3.25,3.25,0.00,1.00
153,0,21,1,19,1,1,144,1,1,4.00,4.00,-1.00,0.00
153,0,22,1,19,0,0,1998,3,0,0.00,8.00,0.00,4.25
153,0,23,1,19,0,1,506,0,0,0.00,17.00,0.00,9.00
153,0,24,1,19,1,1,368,1,1,12.00,12.00,-18.00,0.00
153,0,25,1,19,1,0,182,3,0,-5.00,5.00,-5.00,0.00
153,0,26,1,19,0,,0,,1,4.00,4.00,0.00,2.25
153,0,27,1,19,1,,0,,0,-9.00,12.00,-9.00,0.00
153,0,28,1,19,1,1,118,1,1,8.00,8.00,-9.00,0.00
153,0,29,1,19,1,1,164,0,0,-4.38,5.00,-4.38,0.00
153,0,30,1,19,1,0,258,3,0,-13.00,8.00,-13.00,0.00
153,0,1,1,19,1,0,596,3,0,-2.25,2.00,-2.25,0.00
153,0,2,1,19,1,1,58,1,1,6.00,6.00,-4.50,0.00
153,0,3,1,19,1,1,167,1,1,2.00,2.00,-3.25,0.00
153,0,4,1,19,0,1,69,0,0,0.00,22.00,0.00,10.00
153,0,5,1,19,1,,0,,1,9.00,9.00,-4.50,0.00
153,0,6,1,19,0,0,600,3,1,17.00,17.00,0.00,10.00
153,0,7,1,19,0,,0,,1,4.00,4.00,0.00,2.00
153,0,8,1,19,1,1,43,0,0,-2.00,4.00,-2.00,0.00
153,0,9,1,19,0,,0,,1,11.00,11.00,0.00,6.00
153,0,10,1,19,0,0,486,3,0,0.00,7.00,0.00,4.00
153,0,11,1,19,1,,0,,0,-3.75,10.00,-3.75,0.00
153,0,12,1,19,1,,0,,1,12.00,12.00,-24.00,0.00
153,0,13,1,19,1,,0,,0,-10.50,6.00,-10.50,0.00
153,0,14,1,19,1,,0,,0,-9.38,5.00,-9.38,0.00
153,0,15,1,19,1,,0,,1,8.00,8.00,-5.00,0.00
153,0,16,1,19,1,,0,,1,5.00,5.00,-3.13,0.00
153,0,17,1,19,0,0,613,3,0,0.00,30.00,0.00,12.00
153,0,18,1,19,1,0,1923,3,1,4.00,4.00,-7.00,0.00
153,0,19,1,19,1,1,1072,1,1,10.00,10.00,-13.75,0.00
153,0,20,1,19,1,0,1462,3,0,-15.00,8.00,-15.00,0.00
153,0,21,1,19,0,1,619,1,1,24.00,24.00,0.00,12.00
153,0,22,1,19,1,0,1049,3,0,-15.00,12.00,-15.00,0.00
153,0,23,1,19,1,1,863,0,0,-18.00,9.00,-18.00,0.00
153,0,24,1,19,0,0,308,3,1,13.00,13.00,0.00,5.00
153,0,25,1,19,1,1,58,1,1,2.00,2.00,-0.75,0.00
153,0,26,1,19,1,1,600,0,0,-6.00,12.00,-6.00,0.00
153,0,27,1,19,0,1,382,0,0,0.00,8.00,0.00,3.00
153,0,28,1,19,1,1,43,1,1,8.00,8.00,-6.00,0.00
153,0,29,1,19,1,0,1473,3,0,-5.00,4.00,-5.00,0.00
153,0,30,1,19,1,1,831,0,0,-6.00,6.00,-6.00,0.00
153,0,1,1,19,1,1,1083,1,1,9.00,9.00,-11.25,0.00
153,0,2,1,19,1,0,23,3,1,12.00,12.00,-21.00,0.00
153,0,3,1,19,1,,0,,1,5.00,5.00,-6.88,0.00
153,0,4,1,19,1,1,819,0,0,-3.00,12.00,-3.00,0.00
153,0,5,1,19,0,0,97,3,1,5.00,5.00,0.00,2.00
153,0,6,1,19,1,1,679,0,0,-6.75,9.00,-6.75,0.00
153,0,7,1,19,0,,0,,0,0.00,26.00,0.00,10.00
153,0,8,1,19,1,1,1082,1,1,8.00,8.00,-3.00,0.00
153,0,9,1,19,0,0,944,3,1,19.00,19.00,0.00,8.00
153,0,10,1,19,0,,0,,0,0.00,25.00,0.00,10.00
153,0,11,1,19,1,1,347,0,0,-1.88,5.00,-1.88,0.00
153,0,12,1,19,1,1,1464,0,0,-2.75,2.00,-2.75,0.00
153,0,13,1,19,1,0,1798,3,1,2.00,2.00,-1.75,0.00
153,0,14,1,19,1,1,715,0,0,-11.25,10.00,-11.25,0.00
153,0,15,1,19,0,1,671,0,0,0.00,5.00,0.00,3.00
153,0,16,1,19,1,1,1485,1,1,9.00,9.00,-2.25,0.00
153,0,17,1,19,1,1,634,0,0,-11.00,8.00,-11.00,0.00
153,0,18,1,19,1,0,473,3,1,4.00,4.00,-3.00,0.00
153,0,19,1,19,1,1,1198,1,1,6.00,6.00,-1.50,0.00
153,0,20,1,19,1,0,572,3,0,-13.50,9.00,-13.50,0.00
