Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block
81,0,$8.00 ,$0.00 ,$4.25 ,lost,$0.00 ,3,3,3
82,0,$8.00 ,($9.00),$0.00 ,lost,($9.00),3,3,3
83,0,$6.00 ,($3.00),$0.00 ,lost,($3.00),1.5,1.5,3
84,0,$6.00 ,($4.50),$0.00 ,won,$6.00 ,1.5,5,3
85,0,$2.00 ,($2.25),$0.00 ,won,$2.00 ,1.5,1.5,3
86,0,$10.00 ,($3.75),$0.00 ,won,$10.00 ,3,1.5,3
87,0,$4.00 ,($4.00),$0.00 ,won,$4.00 ,5,7,3
88,0,$12.00 ,($24.00),$0.00 ,lost,($24.00),3,3,3
89,0,$12.00 ,($12.00),$0.00 ,won,$12.00 ,5,1.5,3
90,0,$12.00 ,$0.00 ,$5.00 ,lost,$0.00 ,1.5,1.5,3
91,0,$5.00 ,$0.00 ,$3.00 ,won,$5.00 ,1.5,5,3
92,0,$30.00 ,$0.00 ,$12.00 ,lost,$0.00 ,1.5,1.5,3
93,0,$4.00 ,$0.00 ,$2.00 ,lost,$0.00 ,1.5,5,3
94,0,$2.00 ,($2.75),$0.00 ,lost,($2.75),5,1.5,3
95,0,$12.00 ,($15.00),$0.00 ,won,$12.00 ,1.5,3,3
96,0,$24.00 ,$0.00 ,$12.00 ,won,$24.00 ,1.5,5,3
